timestamp,src_ip,dst_ip,src_port,dst_port,protocol,duration,packets,bytes,src_bytes,dst_bytes,src_packets,dst_packets,tcp_flags,label
2026-01-01T00:02:10+00:00,10.10.5.23,10.20.1.33,50013,80,TCP,1.5,31,13423,6979,6443,16,15,"ACK,PSH",benign
2026-01-01T00:02:20+00:00,10.10.6.24,10.20.2.34,50014,443,TCP,1.73,32,13888,7221,6666,16,16,"ACK,PSH",benign
2026-01-01T00:02:30+00:00,10.10.7.25,10.20.3.35,50015,123,UDP,1.96,33,14355,7464,6890,17,16,,benign
2026-01-01T00:02:40+00:00,10.10.0.26,10.20.4.36,50016,53,UDP,2.19,34,14824,7708,7115,17,17,,benign
2026-01-01T00:02:50+00:00,10.10.1.27,10.20.5.37,50017,80,TCP,2.42,35,15295,7953,7341,18,17,"ACK,PSH",benign
2026-01-01T00:03:00+00:00,10.10.2.28,10.20.0.38,50018,443,TCP,2.65,36,15768,8199,7568,18,18,"ACK,PSH",benign
2026-01-01T00:03:10+00:00,10.10.3.29,10.20.1.39,50019,123,UDP,2.88,37,16243,8446,7796,19,18,,benign
2026-01-01T00:03:20+00:00,10.10.4.30,10.20.2.40,50020,53,UDP,3.11,38,16720,8694,8025,19,19,,benign
2026-01-01T00:03:30+00:00,10.10.5.31,10.20.3.41,50021,80,TCP,3.34,39,17199,8943,8255,20,19,"ACK,PSH",benign
2026-01-01T00:03:40+00:00,10.10.6.32,10.20.4.42,50022,443,TCP,3.57,18,7956,4137,3818,9,9,"ACK,PSH",benign
2026-01-01T00:03:50+00:00,10.10.7.33,10.20.5.43,50023,123,UDP,3.8,19,8417,4376,4040,10,9,,benign
2026-01-01T00:04:00+00:00,10.10.0.34,10.20.0.44,50024,53,UDP,4.03,20,8880,4617,4262,10,10,,benign
2026-01-01T00:04:10+00:00,10.10.1.35,10.20.1.45,50025,80,TCP,4.26,21,9345,4859,4485,11,10,"ACK,PSH",benign
2026-01-01T00:04:20+00:00,10.10.2.36,10.20.2.46,50026,443,TCP,1.5,22,9812,5102,4709,11,11,"ACK,PSH",benign
2026-01-01T00:04:30+00:00,10.10.3.37,10.20.3.47,50027,123,UDP,1.73,23,10281,5346,4934,12,11,,benign
2026-01-01T00:04:40+00:00,10.10.4.38,10.20.4.48,50028,53,UDP,1.96,24,10752,5591,5160,12,12,,benign
2026-01-01T00:04:50+00:00,10.10.5.39,10.20.5.49,50029,80,TCP,2.19,25,11225,5837,5388,13,12,"ACK,PSH",benign
2026-01-01T00:05:00+00:00,10.10.6.40,10.20.0.50,50030,443,TCP,2.42,26,11700,6084,5616,13,13,"ACK,PSH",benign
2026-01-01T00:05:10+00:00,10.10.7.41,10.20.1.51,50031,123,UDP,2.65,27,12177,6332,5844,14,13,,benign
2026-01-01T00:05:20+00:00,10.10.0.42,10.20.2.52,50032,53,UDP,2.88,28,12656,6581,6074,14,14,,benign
2026-01-01T00:05:30+00:00,10.10.1.43,10.20.3.53,50033,80,TCP,3.11,29,13137,6831,6305,15,14,"ACK,PSH",benign
2026-01-01T00:05:40+00:00,10.10.2.44,10.20.4.54,50034,443,TCP,3.34,30,13620,7082,6537,15,15,"ACK,PSH",benign
2026-01-01T00:05:50+00:00,10.10.3.45,10.20.5.55,50035,123,UDP,3.57,31,14105,7334,6770,16,15,,benign
2026-01-01T00:06:00+00:00,10.10.4.46,10.20.0.56,50036,53,UDP,3.8,32,14592,7587,7004,16,16,,benign
2026-01-01T00:06:10+00:00,10.10.5.47,10.20.1.57,50037,80,TCP,4.03,33,15081,7842,7238,17,16,"ACK,PSH",benign
2026-01-01T00:06:20+00:00,10.10.6.48,10.20.2.58,50038,443,TCP,4.26,34,15572,8097,7474,17,17,"ACK,PSH",benign
2026-01-01T00:06:30+00:00,10.10.7.49,10.20.3.59,50039,123,UDP,1.5,35,16065,8353,7711,18,17,,benign
2026-01-01T00:06:40+00:00,10.10.0.50,10.20.4.60,50040,53,UDP,1.73,36,16560,8611,7948,18,18,,benign
2026-01-01T00:06:50+00:00,10.10.1.51,10.20.5.61,50041,80,TCP,1.96,37,17057,8869,8187,19,18,"ACK,PSH",benign
2026-01-01T00:07:00+00:00,10.10.2.52,10.20.0.62,50042,443,TCP,2.19,38,17556,9129,8426,19,19,"ACK,PSH",benign
2026-01-01T00:07:10+00:00,10.10.3.53,10.20.1.63,50043,123,UDP,2.42,39,18057,9389,8667,20,19,,benign
2026-01-01T00:07:20+00:00,10.10.4.54,10.20.2.64,50044,53,UDP,2.65,18,8352,4343,4008,9,9,,benign
2026-01-01T00:07:30+00:00,10.10.5.55,10.20.3.65,50045,80,TCP,2.88,19,8835,4594,4240,10,9,"ACK,PSH",benign
2026-01-01T00:07:40+00:00,10.10.6.56,10.20.4.66,50046,443,TCP,3.11,20,9320,4846,4473,10,10,"ACK,PSH",benign
2026-01-01T00:07:50+00:00,10.10.7.57,10.20.5.67,50047,123,UDP,3.34,21,9807,5099,4707,11,10,,benign
2026-01-01T00:08:00+00:00,10.10.0.58,10.20.0.68,50048,53,UDP,3.57,22,10296,5353,4942,11,11,,benign
2026-01-01T00:08:10+00:00,10.10.1.59,10.20.1.69,50049,80,TCP,3.8,23,10787,5609,5177,12,11,"ACK,PSH",benign
2026-01-01T00:08:20+00:00,10.10.2.60,10.20.2.70,50050,443,TCP,4.03,24,11280,5865,5414,12,12,"ACK,PSH",benign
2026-01-01T00:08:30+00:00,10.10.3.61,10.20.3.71,50051,123,UDP,4.26,25,11775,6123,5652,13,12,,benign
2026-01-01T00:08:40+00:00,10.10.4.62,10.20.4.72,50052,53,UDP,1.5,26,12272,6381,5890,13,13,,benign
2026-01-01T00:08:50+00:00,10.10.5.63,10.20.5.73,50053,80,TCP,1.73,27,12771,6640,6130,14,13,"ACK,PSH",benign
2026-01-01T00:09:00+00:00,10.10.6.64,10.20.0.74,50054,443,TCP,1.96,28,13272,6901,6370,14,14,"ACK,PSH",benign
2026-01-01T00:09:10+00:00,10.10.7.65,10.20.1.75,50055,123,UDP,2.19,29,13775,7163,6612,15,14,,benign
2026-01-01T00:09:20+00:00,10.10.0.66,10.20.2.76,50056,53,UDP,2.42,30,14280,7425,6854,15,15,,benign
2026-01-01T00:09:30+00:00,10.10.1.67,10.20.3.77,50057,80,TCP,2.65,31,14787,7689,7097,16,15,"ACK,PSH",benign
2026-01-01T00:09:40+00:00,10.10.2.68,10.20.4.78,50058,443,TCP,2.88,32,15296,7953,7342,16,16,"ACK,PSH",benign
2026-01-01T00:09:50+00:00,10.10.3.69,10.20.5.79,50059,123,UDP,3.11,33,15807,8219,7587,17,16,,benign
2026-01-01T01:00:00+00:00,10.30.0.30,10.40.0.40,51000,22,TCP,0.04,2,108,84,23,1,1,SYN,malicious
2026-01-01T01:00:04+00:00,10.30.1.31,10.40.1.41,51001,23,TCP,0.065,3,165,128,36,2,1,SYN,malicious
2026-01-01T01:00:08+00:00,10.30.2.32,10.40.2.42,51002,445,TCP,0.09,4,224,174,49,3,1,SYN,malicious
2026-01-01T01:00:12+00:00,10.30.3.33,10.40.3.43,51003,3389,TCP,0.115,5,285,222,62,4,1,SYN,malicious
2026-01-01T01:00:16+00:00,10.30.4.34,10.40.4.44,51004,8080,TCP,0.14,6,348,271,76,5,1,SYN,malicious
2026-01-01T01:00:20+00:00,10.30.0.35,10.40.5.45,51005,1433,TCP,0.165,7,413,322,90,6,1,SYN,malicious
2026-01-01T01:00:24+00:00,10.30.1.36,10.40.6.46,51006,22,TCP,0.19,8,480,374,105,7,1,SYN,malicious
2026-01-01T01:00:28+00:00,10.30.2.37,10.40.7.47,51007,23,TCP,0.215,2,122,95,26,1,1,SYN,malicious
2026-01-01T01:00:32+00:00,10.30.3.38,10.40.8.48,51008,445,TCP,0.24,3,186,145,40,2,1,SYN,malicious
2026-01-01T01:00:36+00:00,10.30.4.39,10.40.9.49,51009,3389,TCP,0.04,4,252,196,55,3,1,SYN,malicious
2026-01-01T01:00:40+00:00,10.30.0.40,10.40.10.50,51010,8080,TCP,0.065,5,320,249,70,4,1,SYN,malicious
2026-01-01T01:00:44+00:00,10.30.1.41,10.40.11.51,51011,1433,TCP,0.09,6,390,304,85,5,1,SYN,malicious
2026-01-01T01:00:48+00:00,10.30.2.42,10.40.12.52,51012,22,TCP,0.115,7,462,360,101,6,1,SYN,malicious
2026-01-01T01:00:52+00:00,10.30.3.43,10.40.13.53,51013,23,TCP,0.14,8,536,418,117,7,1,SYN,malicious
2026-01-01T01:00:56+00:00,10.30.4.44,10.40.14.54,51014,445,TCP,0.165,2,136,106,29,1,1,SYN,malicious
2026-01-01T01:01:00+00:00,10.30.0.45,10.40.15.55,51015,3389,TCP,0.19,3,207,161,45,2,1,SYN,malicious
2026-01-01T01:01:04+00:00,10.30.1.46,10.40.16.56,51016,8080,TCP,0.215,4,280,218,61,3,1,SYN,malicious
2026-01-01T01:01:08+00:00,10.30.2.47,10.40.17.57,51017,1433,TCP,0.24,5,355,276,78,4,1,SYN,malicious
2026-01-01T01:01:12+00:00,10.30.3.48,10.40.0.58,51018,22,TCP,0.04,6,432,336,95,5,1,SYN,malicious
2026-01-01T01:01:16+00:00,10.30.4.49,10.40.1.59,51019,23,TCP,0.065,7,511,398,112,6,1,SYN,malicious
2026-01-01T01:01:20+00:00,10.30.0.50,10.40.2.60,51020,445,TCP,0.09,8,592,461,130,7,1,SYN,malicious
2026-01-01T01:01:24+00:00,10.30.1.51,10.40.3.61,51021,3389,TCP,0.115,2,150,117,33,1,1,SYN,malicious
2026-01-01T01:01:28+00:00,10.30.2.52,10.40.4.62,51022,8080,TCP,0.14,3,228,177,50,2,1,SYN,malicious
2026-01-01T01:01:32+00:00,10.30.3.53,10.40.5.63,51023,1433,TCP,0.165,4,308,240,67,3,1,SYN,malicious
2026-01-01T01:01:36+00:00,10.30.4.54,10.40.6.64,51024,22,TCP,0.19,5,390,304,85,4,1,SYN,malicious
2026-01-01T01:01:40+00:00,10.30.0.55,10.40.7.65,51025,23,TCP,0.215,6,474,369,104,5,1,SYN,malicious
2026-01-01T01:01:44+00:00,10.30.1.56,10.40.8.66,51026,445,TCP,0.24,7,560,436,123,6,1,SYN,malicious
2026-01-01T01:01:48+00:00,10.30.2.57,10.40.9.67,51027,3389,TCP,0.04,8,648,505,142,7,1,SYN,malicious
2026-01-01T01:01:52+00:00,10.30.3.58,10.40.10.68,51028,8080,TCP,0.065,2,164,127,36,1,1,SYN,malicious
2026-01-01T01:01:56+00:00,10.30.4.59,10.40.11.69,51029,1433,TCP,0.09,3,249,194,54,2,1,SYN,malicious
2026-01-01T01:02:00+00:00,10.30.0.60,10.40.12.70,51030,22,TCP,0.115,4,336,262,73,3,1,SYN,malicious
2026-01-01T01:02:04+00:00,10.30.1.61,10.40.13.71,51031,23,TCP,0.14,5,425,331,93,4,1,SYN,malicious
2026-01-01T01:02:08+00:00,10.30.2.62,10.40.14.72,51032,445,TCP,0.165,6,516,402,113,5,1,SYN,malicious
2026-01-01T01:02:12+00:00,10.30.3.63,10.40.15.73,51033,3389,TCP,0.19,7,609,475,133,6,1,SYN,malicious
2026-01-01T01:02:16+00:00,10.30.4.64,10.40.16.74,51034,8080,TCP,0.215,8,704,549,154,7,1,SYN,malicious
2026-01-01T01:02:20+00:00,10.30.0.65,10.40.17.75,51035,1433,TCP,0.24,2,178,138,39,1,1,SYN,malicious
2026-01-01T01:02:24+00:00,10.30.1.66,10.40.0.76,51036,22,TCP,0.04,3,270,210,59,2,1,SYN,malicious
2026-01-01T01:02:28+00:00,10.30.2.67,10.40.1.77,51037,23,TCP,0.065,4,364,283,80,3,1,SYN,malicious
2026-01-01T01:02:32+00:00,10.30.3.68,10.40.2.78,51038,445,TCP,0.09,5,270,210,59,4,1,SYN,malicious
2026-01-01T01:02:36+00:00,10.30.4.69,10.40.3.79,51039,3389,TCP,0.115,6,330,257,72,5,1,SYN,malicious
2026-01-01T01:02:40+00:00,10.30.0.70,10.40.4.80,51040,8080,TCP,0.14,7,392,305,86,6,1,SYN,malicious
2026-01-01T01:02:44+00:00,10.30.1.71,10.40.5.81,51041,1433,TCP,0.165,8,456,355,100,7,1,SYN,malicious
2026-01-01T01:02:48+00:00,10.30.2.72,10.40.6.82,51042,22,TCP,0.19,2,116,90,25,1,1,SYN,malicious
2026-01-01T01:02:52+00:00,10.30.3.73,10.40.7.83,51043,23,TCP,0.215,3,177,138,38,2,1,SYN,malicious
2026-01-01T01:02:56+00:00,10.30.4.74,10.40.8.84,51044,445,TCP,0.24,4,240,187,52,3,1,SYN,malicious
2026-01-01T01:03:00+00:00,10.30.0.75,10.40.9.85,51045,3389,TCP,0.04,5,305,237,67,4,1,SYN,malicious
2026-01-01T01:03:04+00:00,10.30.1.76,10.40.10.86,51046,8080,TCP,0.065,6,372,290,81,5,1,SYN,malicious
2026-01-01T01:03:08+00:00,10.30.2.77,10.40.11.87,51047,1433,TCP,0.09,7,441,343,97,6,1,SYN,malicious
2026-01-01T01:03:12+00:00,10.30.3.78,10.40.12.88,51048,22,TCP,0.115,8,512,399,112,7,1,SYN,malicious
2026-01-01T01:03:16+00:00,10.30.4.79,10.40.13.89,51049,23,TCP,0.14,2,130,101,28,1,1,SYN,malicious
2026-01-01T01:03:20+00:00,10.30.0.80,10.40.14.90,51050,445,TCP,0.165,3,198,154,43,2,1,SYN,malicious
2026-01-01T01:03:24+00:00,10.30.1.81,10.40.15.91,51051,3389,TCP,0.19,4,268,209,58,3,1,SYN,malicious
2026-01-01T01:03:28+00:00,10.30.2.82,10.40.16.92,51052,8080,TCP,0.215,5,340,265,74,4,1,SYN,malicious
2026-01-01T01:03:32+00:00,10.30.3.83,10.40.17.93,51053,1433,TCP,0.24,6,414,322,91,5,1,SYN,malicious
2026-01-01T01:03:36+00:00,10.30.4.84,10.40.0.94,51054,22,TCP,0.04,7,490,382,107,6,1,SYN,malicious
2026-01-01T01:03:40+00:00,10.30.0.85,10.40.1.95,51055,23,TCP,0.065,8,568,443,124,7,1,SYN,malicious
2026-01-01T01:03:44+00:00,10.30.1.86,10.40.2.96,51056,445,TCP,0.09,2,144,112,31,1,1,SYN,malicious
2026-01-01T01:03:48+00:00,10.30.2.87,10.40.3.97,51057,3389,TCP,0.115,3,219,170,48,2,1,SYN,malicious
2026-01-01T01:03:52+00:00,10.30.3.88,10.40.4.98,51058,8080,TCP,0.14,4,296,230,65,3,1,SYN,malicious
2026-01-01T01:03:56+00:00,10.30.4.89,10.40.5.99,51059,1433,TCP,0.165,5,375,292,82,4,1,SYN,malicious
